10 8
20 17
30 26
40 39
50 54
60 67
70 87
80 106
90 128
100 150
110 174
120 201
130 234
140 264
150 297
160 330
170 368
180 406
190 443
200 488
210 529
220 573
230 607
240 660
250 702
260 761
270 814
280 873
290 925
300 988
310 1047
320 1108
330 1172
340 1236
350 1308
360 1378
370 1445
380 1517
390 1595
400 1670
410 1747
420 1831
430 1909
440 1994
450 2081
460 2171
470 2256
480 2349
490 2445
500 2542
510 2637
520 2734
530 2837
540 2939
550 3043
560 3160
570 3261
580 3374
590 3518
600 3597
610 3711
620 3825
630 3945
640 4059
650 4184
660 4318
670 4431
680 4563
690 4695
700 4829
710 4962
720 5098
730 5232
740 5375
750 5552
