10 8
20 15
30 22
40 33
50 44
60 56
70 74
80 89
90 106
100 124
110 143
120 162
130 190
140 222
150 248
160 275
170 303
180 334
190 364
200 398
210 432
220 469
230 506
240 545
250 586
260 636
270 690
280 737
290 786
300 834
310 885
320 934
330 987
340 1047
350 1100
360 1163
370 1214
380 1275
390 1336
400 1397
410 1461
420 1526
430 1595
440 1662
450 1735
460 1807
470 1878
480 1953
490 2032
500 2108
510 2184
520 2297
530 2392
540 2482
550 2575
560 2662
570 2750
580 2841
590 2933
600 3026
610 3118
620 3219
630 3313
640 3410
650 3512
660 3612
670 3716
680 3817
690 3923
700 4026
710 4141
720 4251
730 4370
740 4479
750 4595
