10 9
20 16
30 26
40 39
50 51
60 70
70 82
80 100
90 121
100 142
110 165
120 189
130 224
140 254
150 283
160 316
170 339
180 374
190 411
200 450
210 490
220 531
230 573
240 616
250 663
260 709
270 762
280 815
290 864
300 921
310 977
320 1036
330 1092
340 1158
350 1218
360 1287
370 1355
380 1419
390 1488
400 1557
410 1630
420 1706
430 1780
440 1864
450 1952
460 2034
470 2114
480 2204
490 2291
500 2382
510 2470
520 2558
530 2656
540 2758
550 2847
560 2949
570 3048
580 3147
590 3251
600 3353
610 3461
620 3574
630 3680
640 3793
650 3912
660 4026
670 4140
680 4262
690 4383
700 4499
710 4627
720 4769
730 4843
740 4997
750 5132
