10 8
20 15
30 25
40 35
50 49
60 64
70 80
80 98
90 118
100 139
110 164
120 187
130 216
140 245
150 276
160 305
170 339
180 374
190 411
200 448
210 486
220 528
230 567
240 613
250 661
260 711
270 756
280 807
290 859
300 915
310 973
320 1027
330 1083
340 1144
350 1210
360 1271
370 1336
380 1404
390 1469
400 1541
410 1610
420 1685
430 1779
440 1849
450 1921
460 1998
470 2084
480 2168
490 2243
500 2314
510 2406
520 2498
530 2579
540 2668
550 2766
560 2857
570 2960
580 3086
590 3188
600 3291
610 3398
620 3499
630 3607
640 3702
650 3803
660 3910
670 4020
680 4144
690 4265
700 4406
710 4521
720 4642
730 4762
740 4893
750 5014
