10 17
20 30
30 26
40 25
50 35
60 44
70 57
80 72
90 87
100 103
110 121
120 145
130 163
140 186
150 210
160 231
170 260
180 286
190 320
200 349
210 381
220 414
230 450
240 486
250 527
260 565
270 609
280 652
290 696
300 743
310 792
320 838
330 892
340 941
350 991
360 1046
370 1101
380 1157
390 1217
400 1275
410 1336
420 1401
430 1464
440 1529
450 1595
460 1661
470 1737
480 1814
490 1892
500 1950
510 2027
520 2105
530 2190
540 2272
550 2353
560 2442
570 2535
580 2616
590 2702
600 2805
610 2896
620 2992
630 3079
640 3164
650 3260
660 3340
670 3455
680 3568
690 3671
700 3784
710 3879
720 3978
730 4087
740 4212
750 4326
