10 49
20 358
30 1982
40 8540
50 17847
60 43359
70 64989
80 128889
90 201350
100 302323
110 446118
120 648372
130 815246
140 1208422
150 1532620
160 2131253
170 2621991
180 3335219
190 4107915
200 4877868
